time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15215,24.663939,215.499961,49.41213183,61.983628,61.967865
15216,24.655646,215.149439,49.9583666,61.980501,61.983628
15217,24.654618,215.228574,49.61864321,62.011574,61.980501
15218,24.669417,215.399762,49.41213183,62.051303,62.011574
15219,24.645217,215.389637,49.61864321,62.05245,62.051303
15220,24.648645,215.310735,49.41213183,62.080227,62.05245
15221,24.660208,215.62297,49.82515458,62.093934,62.080227
15222,24.646786,215.668938,49.90610146,62.115874,62.093934
15223,24.658929,216.262569,49.76237233,62.142703,62.115874
15224,24.65912,215.721191,49.43815564,62.152981,62.142703
15225,24.648032,215.047028,49.9583666,62.163957,62.152981
15226,24.655085,215.841523,49.9583666,62.193912,62.163957
15227,24.646608,215.474591,49.9583666,62.210565,62.193912
15228,24.661018,216.132112,49.9583666,62.21919,62.210565
15229,24.653556,215.125465,49.9583666,62.227859,62.21919
15230,24.652257,215.657534,49.61864321,62.250817,62.227859
15231,24.650029,215.260228,49.9583666,62.264349,62.250817
15232,24.660491,215.297235,49.61864321,62.296271,62.264349
15233,24.655065,215.351699,49.7504413,62.309162,62.296271
15234,24.647715,215.24766,49.9583666,62.32848,62.309162
15235,24.648163,215.552679,50.16629189,62.330934,62.32848
15236,24.657425,215.681623,49.9583666,62.362361,62.330934
15237,24.650451,215.546977,49.82515458,62.379353,62.362361
15238,24.660194,215.598182,50.16629189,62.39712,62.379353
15239,24.65815,215.613078,49.82515458,62.406346,62.39712
15240,24.654716,215.801606,49.82515458,62.42005,62.406346
15241,24.651123,215.514392,49.9583666,62.43988,62.42005
15242,24.662211,215.934041,49.61864321,62.459626,62.43988
15243,24.658988,215.931714,49.9583666,62.456718,62.459626
15244,24.671308,215.714208,49.9583666,62.484389,62.456718
15245,24.649495,216.040176,49.9583666,62.480904,62.484389
15246,24.660682,215.46598,49.68397463,62.4994,62.480904
15247,24.66765,215.610285,49.9583666,62.521421,62.4994
15248,24.654274,215.188192,49.9583666,62.52636,62.521421
15249,24.660016,215.274659,49.9583666,62.544946,62.52636
15250,24.65819,215.625065,49.9583666,62.557074,62.544946
15251,24.655599,215.428274,50.16629189,62.570701,62.557074
15252,24.667458,215.524982,49.82515458,62.585814,62.570701
15253,24.673127,216.045413,49.82515458,62.607245,62.585814
15254,24.659212,215.626927,49.27891982,62.615022,62.607245
15255,24.668942,216.129668,49.82515458,62.644883,62.615022
15256,24.667656,215.95592,49.61864321,62.664263,62.644883
15257,24.677788,216.410598,49.9583666,62.687339,62.664263
15258,24.669383,215.662538,49.82515458,62.691279,62.687339
15259,24.681433,215.526495,49.61864321,62.705008,62.691279
15260,24.678764,215.493212,50.16629189,62.715867,62.705008
15261,24.677056,216.456916,49.7504413,62.733042,62.715867
15262,24.674973,216.121871,49.9583666,62.752991,62.733042
15263,24.675468,215.484949,49.61864321,62.76827,62.752991
15264,24.682303,215.468307,49.9583666,62.781864,62.76827
15265,24.686081,216.165977,49.9583666,62.788226,62.781864
15266,24.687096,215.869686,49.94530031,62.817912,62.788226
15267,24.682205,215.145366,49.87996889,62.822576,62.817912
15268,24.692594,216.291081,49.52923896,62.840295,62.822576
15269,24.687089,215.097186,50.15317122,62.854004,62.840295
15270,24.680932,215.563153,49.9583666,62.858559,62.854004
